delta,val,tare
222872,8493193,270321
215675,8485996,270321
215091,8485412,270321
216136,8486457,270321
215943,8486264,270321
212463,8482784,270321
211089,8481410,270321
209973,8480294,270321
208122,8478443,270321
203031,8473352,270321
199816,8470137,270321
203866,8474187,270321
207416,8477737,270321
204963,8475284,270321
203413,8473734,270321
205603,8475924,270321
207516,8477837,270321
204058,8474379,270321
203607,8473928,270321
201537,8471858,270321
196053,8466374,270321
188132,8458453,270321
182102,8452423,270321
177322,8447643,270321
174500,8444821,270321
176575,8446896,270321
176790,8447111,270321
171205,8441526,270321
164862,8435183,270321
158577,8428898,270321
156227,8426548,270321
148211,8418532,270321
136378,8406699,270321
130550,8400871,270321
128433,8398754,270321
126100,8396421,270321
122212,8392533,270321
117622,8387943,270321
117593,8387914,270321
113379,8383700,270321
105749,8376070,270321
98428,8368749,270321
92474,8362795,270321
82166,8352487,270321
74138,8344459,270321
71619,8341940,270321
71950,8342271,270321
69930,8340251,270321
66751,8337072,270321
63834,8334155,270321
60130,8330451,270321
56377,8326698,270321
51985,8322306,270321
47804,8318125,270321
42831,8313152,270321
37461,8307782,270321
34729,8305050,270321
32501,8302822,270321
33474,8303795,270321
34787,8305108,270321
34316,8304637,270321
33084,8303405,270321
30390,8300711,270321
26463,8296784,270321
21033,8291354,270321
18364,8288685,270321
15360,8285681,270321
12728,8283049,270321
9310,8279631,270321
4573,8274894,270321
1077,8271398,270321
-298,8270023,270321
117,8270438,270321
394,8270715,270321
394,8270715,270321
456,8270777,270321
402,8270723,270321
271,8270592,270321
325,8270646,270321
331,8270652,270321
302,8270623,270321
263,8270584,270321
288,8270609,270321
208,8270529,270321
167,8270488,270321
122,8270443,270321
0,8270321,270321
5,8270326,270321
-20,8270301,270321
76,8270397,270321
-22,8270299,270321
-27,8270294,270321
-67,8270254,270321
-54,8270267,270321
-101,8270220,270321
-101,8270220,270321
-101,8270220,270321
-124,8270197,270321
-106,8270215,270321
-98,8270223,270321
-133,8270188,270321
-95,8270226,270321
-83,8270238,270321
-68,8270253,270321
-15,8270306,270321
-48,8270273,270321
-38,8270283,270321
-33,8270288,270321
-91,8270230,270321
-78,8270243,270321
-95,8270226,270321
-38,8270283,270321
-36,8270285,270321
-41,8270280,270321
-77,8270244,270321
-64,8270257,270321
