delta,val,tare
10,8262361,262351
-93,8262258,262351
-82,8262269,262351
-80,8262271,262351
14,8262365,262351
-44,8262307,262351
-29,8262322,262351
-21,8262330,262351
-100,8262251,262351
-84,8262267,262351
14,8262365,262351
26,8262377,262351
27,8262378,262351
60,8262411,262351
-5,8262346,262351
6,8262357,262351
-10,8262341,262351
1,8262352,262351
3,8262354,262351
6,8262357,262351
17,8262368,262351
51,8262402,262351
53,8262404,262351
27,8262378,262351
33,8262384,262351
3,8262354,262351
78,8262429,262351
123,8262474,262351
69,8262420,262351
24,8262375,262351
13,8262364,262351
10,8262361,262351
-60,8262291,262351
-33,8262318,262351
20,8262371,262351
82,8262433,262351
3,8262354,262351
21,8262372,262351
72,8262423,262351
71,8262422,262351
12,8262363,262351
32,8262383,262351
72,8262423,262351
80,8262431,262351
33,8262384,262351
-16,8262335,262351
33,8262384,262351
34,8262385,262351
17,8262368,262351
-29,8262322,262351
-11,8262340,262351
15,8262366,262351
42,8262393,262351
-32,8262319,262351
-54,8262297,262351
47,8262398,262351
28,8262379,262351
27,8262378,262351
77,8262428,262351
82,8262433,262351
106,8262457,262351
213,8262564,262351
262,8262613,262351
263,8262614,262351
232,8262583,262351
234,8262585,262351
223,8262574,262351
244,8262595,262351
231,8262582,262351
231,8262582,262351
262,8262613,262351
242,8262593,262351
221,8262572,262351
216,8262567,262351
290,8262641,262351
303,8262654,262351
249,8262600,262351
220,8262571,262351
256,8262607,262351
238,8262589,262351
252,8262603,262351
184,8262535,262351
245,8262596,262351
302,8262653,262351
299,8262650,262351
266,8262617,262351
254,8262605,262351
253,8262604,262351
252,8262603,262351
255,8262606,262351
325,8262676,262351
302,8262653,262351
297,8262648,262351
308,8262659,262351
286,8262637,262351
316,8262667,262351
264,8262615,262351
219,8262570,262351
282,8262633,262351
294,8262645,262351
236,8262587,262351
254,8262605,262351
249,8262600,262351
280,8262631,262351
319,8262670,262351
313,8262664,262351
270,8262621,262351
277,8262628,262351
275,8262626,262351
247,8262598,262351
229,8262580,262351
304,8262655,262351
242,8262593,262351
247,8262598,262351
277,8262628,262351
280,8262631,262351
295,8262646,262351
271,8262622,262351
283,8262634,262351
268,8262619,262351
292,8262643,262351
306,8262657,262351
268,8262619,262351
287,8262638,262351
293,8262644,262351
310,8262661,262351
351,8262702,262351
459,8262810,262351
467,8262818,262351
514,8262865,262351
434,8262785,262351
180,8262531,262351
235,8262586,262351
347,8262698,262351
1527,8263878,262351
2690,8265041,262351
2406,8264757,262351
971,8263322,262351
569,8262920,262351
815,8263166,262351
3108,8265459,262351
6946,8269297,262351
8122,8270473,262351
7559,8269910,262351
8715,8271066,262351
10396,8272747,262351
10598,8272949,262351
10449,8272800,262351
11959,8274310,262351
13670,8276021,262351
13690,8276041,262351
13659,8276010,262351
14445,8276796,262351
14157,8276508,262351
13529,8275880,262351
13690,8276041,262351
14451,8276802,262351
14623,8276974,262351
6481,8268832,262351
966,8263317,262351
198,8262549,262351
136,8262487,262351
78,8262429,262351
73,8262424,262351
-1,8262350,262351
12,8262363,262351
75,8262426,262351
79,8262430,262351
36,8262387,262351
118,8262469,262351
1919,8264270,262351
2292,8264643,262351
1778,8264129,262351
2655,8265006,262351
5074,8267425,262351
7830,8270181,262351
10808,8273159,262351
11105,8273456,262351
11205,8273556,262351
11805,8274156,262351
12601,8274952,262351
14247,8276598,262351
14753,8277104,262351
14308,8276659,262351
13700,8276051,262351
11398,8273749,262351
10226,8272577,262351
9123,8271474,262351
4649,8267000,262351
737,8263088,262351
196,8262547,262351
190,8262541,262351
132,8262483,262351
82,8262433,262351
236,8262587,262351
1596,8263947,262351
3901,8266252,262351
7660,8270011,262351
15035,8277386,262351
31612,8293963,262351
50276,8312627,262351
68409,8330760,262351
88850,8351201,262351
100894,8363245,262351
107386,8369737,262351
109889,8372240,262351
114174,8376525,262351
110931,8373282,262351
106178,8368529,262351
100606,8362957,262351
89649,8352000,262351
73433,8335784,262351
58404,8320755,262351
53980,8316331,262351
53862,8316213,262351
53874,8316225,262351
53874,8316225,262351
53858,8316209,262351
53801,8316152,262351
53868,8316219,262351
53798,8316149,262351
53723,8316074,262351
53761,8316112,262351
53778,8316129,262351
53777,8316128,262351
53800,8316151,262351
53799,8316150,262351
53720,8316071,262351
53672,8316023,262351
53589,8315940,262351
53598,8315949,262351
53589,8315940,262351
53594,8315945,262351
53608,8315959,262351
53620,8315971,262351
53647,8315998,262351
53612,8315963,262351
53567,8315918,262351
53801,8316152,262351
54032,8316383,262351
53846,8316197,262351
52565,8314916,262351
49116,8311467,262351
43101,8305452,262351
37265,8299616,262351
29950,8292301,262351
22880,8285231,262351
16576,8278927,262351
10854,8273205,262351
7412,8269763,262351
3295,8265646,262351
4044,8266395,262351
9023,8271374,262351
14877,8277228,262351
21261,8283612,262351
21396,8283747,262351
21440,8283791,262351
21453,8283804,262351
21435,8283786,262351
21507,8283858,262351
21485,8283836,262351
21473,8283824,262351
21452,8283803,262351
21474,8283825,262351
21513,8283864,262351
21573,8283924,262351
21521,8283872,262351
21489,8283840,262351
22698,8285049,262351
23359,8285710,262351
21843,8284194,262351
